Species,Lat.mean,T.binary
Vigna_luteola,13.0715820451623,1
Vigna_longifolia,-3.88532287888069,1
Vigna_laurentii,4.19845030769231,1
Vigna_lasiocarpa,-4.09774391822676,1
Vigna_hosei,0.8508219296875,1
Vigna_hirtella,24.0943333333333,0
Vigna_heterophylla,8.5714214,1
Vigna_gracilis,5.59951441489362,1
Vigna_glabrescens,10.05311175,1
Vigna_gazensis,-17.8575662068966,1
Vigna_frutescens,-7.99016259770115,1
Vigna_filicaulis,8.51682686445783,1
Vigna_angularis,3.75650839160839,1
Vigna_angivensis,-18.8498107310345,1
Vigna_ambacensis,6.73294321359223,1
Vigna_aconitifolia,28.4082484516129,0
Vicia_villosa,38.3002630400925,0
Vicia_vicioides,37.8030816236176,0
Vicia_venulosa,38.0129628888889,0
Vicia_venosa,46.6031499779736,0
Vicia_unijuga,38.0367500014238,0
Vicia_tigridis,37.296231,0
Vicia_tibetica,30.0445322692308,0
Vicia_tetrasperma,55.5811037574816,0
Vicia_tenuifolia,52.0868018451605,0
Vicia_sylvatica,59.9814896545863,0
Vicia_subvillosa,40.4899425689655,0
Vicia_stenophylla,-24.8010104429826,0
Vicia_sparsiflora,45.10768075,0
Vicia_sicula,44.3849950051746,0
Vicia_sibthorpii,37.7481944065625,0
Vicia_serratifolia,45.4996626788083,0
Vicia_sericocarpa,35.2557338066915,0
Vicia_sepium,57.0907993562018,0
Vicia_semiglabra,41.8046525183333,0
Vicia_scandens,22.017338385192,1
Vicia_sativa,39.0451216398915,0
Vicia_qatmensis,35.7792685909091,0
Vicia_pyrenaica,42.028155855416,0
Vicia_pulchella,26.4902046944452,0
Vicia_pubescens,39.7731384805468,0
Vicia_pseudo-orobus,44.2880116836158,0
Vicia_pisiformis,55.4504338176326,0
Vicia_pinetorum,37.9859290515625,0
Vicia_peregrina,40.1748539242204,0
Vicia_pectinata,-15.33,1
Vicia_paucifolia,-1.42280342424242,1
Vicia_parviflora,41.6873108656511,0
Vicia_pannonica,46.886702816639,0
Vicia_palaestina,32.6153827172131,0
Vicia_orobus,57.0720157298153,0
Vicia_oroboides,46.7287050725,0
Vicia_onobrychioides,43.1171479442712,0
Vicia_ochroleuca,42.3736678611111,0
Vicia_nummularia,29.1070313529412,0
Vicia_noeana,37.5172930714286,0
Vicia_nipponica,36.2008030014661,0
Vicia_nigricans,27.2234512915027,0
Vicia_nigra,28.1385201162372,0
Vicia_nataliae,30.4013897418919,0
Vicia_narbonensis,40.7247969971454,0
Vicia_multicaulis,51.2706046923077,0
Vicia_montevidensis,-28.548958765415,0
Vicia_montbretii,37.9485892686111,0
Vicia_monardii,36.481153741447,0
Vicia_monantha,36.0327181139474,0
Vicia_mollis,35.7792091935484,0
Vicia_minutiflora,32.1596753693054,0
Vicia_michauxii,38.188920520202,0
Vicia_mexicana,19.175,1
Vicia_menziesii,19.4833,1
Vicia_melanops,42.3984697451515,0
Vicia_megalotropis,53.4470354583333,0
Vicia_lutea,46.7760927163706,0
Vicia_ludoviciana,31.4771253164323,0
Vicia_leucophaea,29.3618681430086,0
Vicia_leucantha,39.2857749689366,0
Vicia_lathyroides,53.9767449306231,0
Vicia_larissae,34.68,0
Vicia_kalakhensis,34.6406388695652,0
Vicia_johannis,41.0675985179456,0
Vicia_japonica,41.3568613561644,0
Vicia_hyrcanica,39.2681203157895,0
Vicia_hybrida,41.0145382856593,0
Vicia_hyaeniscyamus,34.7322680967742,0
Vicia_humilis,20.847515642164,1
Vicia_hololasia,40.85,0
Vicia_hirsuta,54.8046217487072,0
Vicia_grandiflora,41.4221161225653,0
Vicia_glauca,37.634879510708,0
Vicia_galilaea,32.8898719555556,0
